shipment_id,decision_time,cohort,source,latest_temperature_c,measurement_age_minutes,arrival_delay_minutes,temperature_missing,temperature_count,temperature_mean_c,temperature_max_c,temperature_trend_c_per_hour,temperature_span_hours,label,label_cutoff
s-00003,2026-01-01 23:00:00+00:00,train,sensor-north,5.132,0.0,0.0,0,3,4.779,5.132,0.21099999999999985,2.0,0,2026-02-15 08:00:00+00:00
s-00004,2026-01-01 23:00:00+00:00,train,sensor-central,5.764,60.0,0.0,0,1,5.764,5.764,,0.0,0,2026-02-15 08:00:00+00:00
s-00005,2026-01-01 23:00:00+00:00,train,sensor-coast,4.529,60.0,5.0,0,2,4.4735,4.529,0.11099999999999977,1.0,0,2026-02-15 08:00:00+00:00
s-00004,2026-01-02 02:00:00+00:00,train,sensor-central,4.842,60.0,5.0,0,2,4.6915,4.842,0.30099999999999927,1.0,0,2026-02-15 08:00:00+00:00
s-00005,2026-01-02 02:00:00+00:00,train,sensor-coast,4.45,60.0,35.0,0,2,4.605,4.76,-0.3099999999999996,1.0,0,2026-02-15 08:00:00+00:00
s-00006,2026-01-02 02:00:00+00:00,train,sensor-north,5.176,60.0,5.0,0,2,4.805,5.176,0.742,1.0,0,2026-02-15 08:00:00+00:00
s-00005,2026-01-02 05:00:00+00:00,train,sensor-coast,8.436,60.0,35.0,0,2,7.6625,8.436,1.5469999999999997,1.0,1,2026-02-15 08:00:00+00:00
s-00006,2026-01-02 05:00:00+00:00,train,sensor-north,4.867,60.0,0.0,0,2,4.883,4.899,-0.03200000000000003,1.0,0,2026-02-15 08:00:00+00:00
s-00007,2026-01-02 05:00:00+00:00,train,sensor-central,4.532,60.0,2.0,0,2,3.891,4.532,1.282,1.0,0,2026-02-15 08:00:00+00:00
s-00006,2026-01-02 08:00:00+00:00,train,sensor-north,9.806,0.0,0.0,0,1,9.806,9.806,,0.0,1,2026-02-15 08:00:00+00:00
s-00007,2026-01-02 08:00:00+00:00,train,sensor-central,4.144,60.0,1.0,0,2,4.0825,4.144,0.12300000000000022,1.0,0,2026-02-15 08:00:00+00:00
s-00008,2026-01-02 08:00:00+00:00,train,sensor-coast,4.445,60.0,2.0,0,2,4.668,4.891,-0.44599999999999973,1.0,0,2026-02-15 08:00:00+00:00
s-00007,2026-01-02 11:00:00+00:00,train,sensor-central,4.353,60.0,1.0,0,2,4.5525,4.752,-0.399,1.0,0,2026-02-15 08:00:00+00:00
s-00008,2026-01-02 11:00:00+00:00,train,sensor-coast,3.385,60.0,5.0,0,2,3.999,4.613,-1.2280000000000006,1.0,0,2026-02-15 08:00:00+00:00
s-00009,2026-01-02 11:00:00+00:00,train,sensor-north,4.183,120.0,2.0,0,1,4.183,4.183,,0.0,0,2026-02-15 08:00:00+00:00
s-00008,2026-01-02 14:00:00+00:00,train,sensor-coast,4.524,60.0,2.0,0,2,5.256,5.988,-1.4640000000000004,1.0,0,2026-02-15 08:00:00+00:00
s-00009,2026-01-02 14:00:00+00:00,train,sensor-north,5.912,60.0,5.0,0,2,5.3925,5.912,1.0389999999999997,1.0,0,2026-02-15 08:00:00+00:00
s-00010,2026-01-02 14:00:00+00:00,train,sensor-central,4.156,120.0,0.0,0,1,4.156,4.156,,0.0,0,2026-02-15 08:00:00+00:00
s-00009,2026-01-02 17:00:00+00:00,train,sensor-north,9.025,0.0,0.0,0,3,8.027333333333333,9.025,0.9195000000000002,2.0,1,2026-02-15 08:00:00+00:00
s-00010,2026-01-02 17:00:00+00:00,train,sensor-central,4.82,60.0,5.0,0,2,4.3870000000000005,4.82,0.8660000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00011,2026-01-02 17:00:00+00:00,train,sensor-coast,3.77,60.0,1.0,0,2,3.6959999999999997,3.77,0.14800000000000013,1.0,0,2026-02-15 08:00:00+00:00
s-00010,2026-01-02 20:00:00+00:00,train,sensor-central,4.997,120.0,5.0,0,1,4.997,4.997,,0.0,0,2026-02-15 08:00:00+00:00
s-00011,2026-01-02 20:00:00+00:00,train,sensor-coast,3.48,60.0,5.0,0,2,4.3155,5.151,-1.6709999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00012,2026-01-02 20:00:00+00:00,train,sensor-north,3.082,0.0,0.0,0,2,3.9234999999999998,4.765,-1.6829999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00011,2026-01-02 23:00:00+00:00,train,sensor-coast,4.049,120.0,35.0,0,1,4.049,4.049,,0.0,0,2026-02-15 08:00:00+00:00
s-00012,2026-01-02 23:00:00+00:00,train,sensor-north,3.995,0.0,0.0,0,3,4.250333333333334,4.476,-0.14250000000000007,2.0,0,2026-02-15 08:00:00+00:00
s-00013,2026-01-02 23:00:00+00:00,train,sensor-central,3.908,0.0,0.0,0,3,4.263333333333334,4.485,-0.24450000000000016,2.0,0,2026-02-15 08:00:00+00:00
s-00012,2026-01-03 02:00:00+00:00,train,sensor-north,5.237,60.0,35.0,0,2,5.458,5.679,-0.44200000000000017,1.0,0,2026-02-15 08:00:00+00:00
s-00013,2026-01-03 02:00:00+00:00,train,sensor-central,4.031,60.0,35.0,0,2,4.3855,4.74,-0.7090000000000005,1.0,0,2026-02-15 08:00:00+00:00
s-00014,2026-01-03 02:00:00+00:00,train,sensor-coast,5.357,60.0,35.0,0,2,4.9835,5.357,0.7469999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00013,2026-01-03 05:00:00+00:00,train,sensor-central,5.203,120.0,5.0,0,1,5.203,5.203,,0.0,0,2026-02-15 08:00:00+00:00
s-00014,2026-01-03 05:00:00+00:00,train,sensor-coast,5.327,0.0,0.0,0,3,4.798333333333334,5.327,0.2174999999999998,2.0,0,2026-02-15 08:00:00+00:00
s-00015,2026-01-03 05:00:00+00:00,train,sensor-north,3.989,60.0,2.0,0,2,4.047499999999999,4.106,-0.11699999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00014,2026-01-03 08:00:00+00:00,train,sensor-coast,5.429,0.0,0.0,0,3,4.732333333333334,5.429,0.5,2.0,0,2026-02-15 08:00:00+00:00
s-00015,2026-01-03 08:00:00+00:00,train,sensor-north,4.679,0.0,0.0,0,3,4.662333333333334,4.845,-0.08299999999999974,2.0,0,2026-02-15 08:00:00+00:00
s-00016,2026-01-03 08:00:00+00:00,train,sensor-central,3.73,60.0,35.0,0,1,3.73,3.73,,0.0,0,2026-02-15 08:00:00+00:00
s-00015,2026-01-03 11:00:00+00:00,train,sensor-north,4.761,60.0,2.0,0,1,4.761,4.761,,0.0,0,2026-02-15 08:00:00+00:00
s-00016,2026-01-03 11:00:00+00:00,train,sensor-central,5.084,120.0,2.0,0,1,5.084,5.084,,0.0,0,2026-02-15 08:00:00+00:00
s-00017,2026-01-03 11:00:00+00:00,train,sensor-coast,4.069,120.0,1.0,0,1,4.069,4.069,,0.0,0,2026-02-15 08:00:00+00:00
s-00016,2026-01-03 14:00:00+00:00,train,sensor-central,4.536,60.0,35.0,0,2,4.9765,5.417,-0.8810000000000002,1.0,0,2026-02-15 08:00:00+00:00
s-00017,2026-01-03 14:00:00+00:00,train,sensor-coast,4.001,180.0,1.0,0,0,,,,,0,2026-02-15 08:00:00+00:00
s-00018,2026-01-03 14:00:00+00:00,train,sensor-north,4.665,60.0,2.0,0,1,4.665,4.665,,0.0,0,2026-02-15 08:00:00+00:00
s-00017,2026-01-03 17:00:00+00:00,train,sensor-coast,9.251,60.0,0.0,0,2,8.3895,9.251,1.7229999999999999,1.0,1,2026-02-15 08:00:00+00:00
s-00018,2026-01-03 17:00:00+00:00,train,sensor-north,4.22,60.0,1.0,0,2,4.547,4.874,-0.6539999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00019,2026-01-03 17:00:00+00:00,train,sensor-central,4.959,0.0,0.0,0,3,4.52,4.959,0.3454999999999999,2.0,0,2026-02-15 08:00:00+00:00
s-00018,2026-01-03 20:00:00+00:00,train,sensor-north,4.205,60.0,5.0,0,2,4.386,4.567,-0.3620000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00019,2026-01-03 20:00:00+00:00,train,sensor-central,5.797,60.0,1.0,0,2,5.2935,5.797,1.0069999999999997,1.0,0,2026-02-15 08:00:00+00:00
s-00020,2026-01-03 20:00:00+00:00,train,sensor-coast,5.012,60.0,2.0,0,2,4.4544999999999995,5.012,1.1149999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00019,2026-01-03 23:00:00+00:00,train,sensor-central,9.306,60.0,2.0,0,2,7.6259999999999994,9.306,3.3599999999999994,1.0,1,2026-02-15 08:00:00+00:00
s-00020,2026-01-03 23:00:00+00:00,train,sensor-coast,6.199,0.0,0.0,0,3,5.390333333333333,6.199,0.992,2.0,0,2026-02-15 08:00:00+00:00
s-00021,2026-01-03 23:00:00+00:00,train,sensor-north,5.178,120.0,0.0,0,1,5.178,5.178,,0.0,0,2026-02-15 08:00:00+00:00
s-00020,2026-01-04 02:00:00+00:00,train,sensor-coast,7.269,60.0,0.0,0,2,7.0809999999999995,7.269,0.37600000000000033,1.0,1,2026-02-15 08:00:00+00:00
s-00021,2026-01-04 02:00:00+00:00,train,sensor-north,4.3,60.0,5.0,0,2,4.302,4.304,-0.004000000000000448,1.0,0,2026-02-15 08:00:00+00:00
s-00022,2026-01-04 02:00:00+00:00,train,sensor-central,3.801,60.0,0.0,0,1,3.801,3.801,,0.0,0,2026-02-15 08:00:00+00:00
s-00021,2026-01-04 05:00:00+00:00,train,sensor-north,4.249,120.0,1.0,0,1,4.249,4.249,,0.0,0,2026-02-15 08:00:00+00:00
s-00022,2026-01-04 05:00:00+00:00,train,sensor-central,5.16,60.0,1.0,0,2,4.7995,5.16,0.7210000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00023,2026-01-04 05:00:00+00:00,train,sensor-coast,4.609,60.0,35.0,0,2,4.3555,4.609,0.5069999999999997,1.0,0,2026-02-15 08:00:00+00:00
s-00022,2026-01-04 08:00:00+00:00,train,sensor-central,4.978,60.0,35.0,0,2,5.209,5.44,-0.46200000000000063,1.0,0,2026-02-15 08:00:00+00:00
s-00023,2026-01-04 08:00:00+00:00,train,sensor-coast,4.89,60.0,0.0,0,2,4.977,5.064,-0.17400000000000038,1.0,0,2026-02-15 08:00:00+00:00
s-00024,2026-01-04 08:00:00+00:00,train,sensor-north,3.751,60.0,2.0,0,1,3.751,3.751,,0.0,0,2026-02-15 08:00:00+00:00
s-00023,2026-01-04 11:00:00+00:00,train,sensor-coast,3.81,60.0,35.0,0,2,4.0705,4.331,-0.5210000000000004,1.0,0,2026-02-15 08:00:00+00:00
s-00024,2026-01-04 11:00:00+00:00,train,sensor-north,6.219,60.0,35.0,0,2,5.3870000000000005,6.219,1.6640000000000006,1.0,0,2026-02-15 08:00:00+00:00
s-00025,2026-01-04 11:00:00+00:00,train,sensor-central,4.603,60.0,35.0,0,1,4.603,4.603,,0.0,0,2026-02-15 08:00:00+00:00
s-00024,2026-01-04 14:00:00+00:00,train,sensor-north,4.943,60.0,2.0,0,2,4.478999999999999,4.943,0.9279999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00025,2026-01-04 14:00:00+00:00,train,sensor-central,6.214,0.0,0.0,0,3,5.964333333333333,6.516,0.5255000000000001,2.0,0,2026-02-15 08:00:00+00:00
s-00026,2026-01-04 14:00:00+00:00,train,sensor-coast,3.594,60.0,0.0,0,2,3.3285,3.594,0.5309999999999997,1.0,0,2026-02-15 08:00:00+00:00
s-00025,2026-01-04 17:00:00+00:00,train,sensor-central,9.858,0.0,0.0,0,3,8.959,9.858,0.7065000000000001,2.0,1,2026-02-15 08:00:00+00:00
s-00026,2026-01-04 17:00:00+00:00,train,sensor-coast,4.429,60.0,2.0,0,2,4.282,4.429,0.2940000000000005,1.0,0,2026-02-15 08:00:00+00:00
s-00027,2026-01-04 17:00:00+00:00,train,sensor-north,4.596,60.0,1.0,0,2,3.826,4.596,1.54,1.0,0,2026-02-15 08:00:00+00:00
s-00026,2026-01-04 20:00:00+00:00,train,sensor-coast,5.483,60.0,0.0,0,1,5.483,5.483,,0.0,0,2026-02-15 08:00:00+00:00
s-00027,2026-01-04 20:00:00+00:00,train,sensor-north,5.308,60.0,2.0,0,2,4.545,5.308,1.5259999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00028,2026-01-04 20:00:00+00:00,train,sensor-central,4.314,60.0,35.0,0,1,4.314,4.314,,0.0,0,2026-02-15 08:00:00+00:00
s-00027,2026-01-04 23:00:00+00:00,train,sensor-north,4.966,120.0,1.0,0,1,4.966,4.966,,0.0,0,2026-02-15 08:00:00+00:00
s-00028,2026-01-04 23:00:00+00:00,train,sensor-central,5.684,60.0,5.0,0,1,5.684,5.684,,0.0,0,2026-02-15 08:00:00+00:00
s-00029,2026-01-04 23:00:00+00:00,train,sensor-coast,5.356,60.0,5.0,0,2,4.618,5.356,1.476,1.0,0,2026-02-15 08:00:00+00:00
s-00028,2026-01-05 02:00:00+00:00,train,sensor-central,4.505,60.0,5.0,0,2,5.1145,5.724,-1.2190000000000003,1.0,0,2026-02-15 08:00:00+00:00
s-00029,2026-01-05 02:00:00+00:00,train,sensor-coast,4.055,60.0,0.0,0,2,3.69,4.055,0.7299999999999995,1.0,0,2026-02-15 08:00:00+00:00
s-00030,2026-01-05 02:00:00+00:00,train,sensor-north,3.181,60.0,35.0,0,2,4.3525,5.524,-2.343,1.0,0,2026-02-15 08:00:00+00:00
s-00029,2026-01-05 05:00:00+00:00,train,sensor-coast,4.058,60.0,1.0,0,2,4.2765,4.495,-0.4370000000000003,1.0,0,2026-02-15 08:00:00+00:00
s-00030,2026-01-05 05:00:00+00:00,train,sensor-north,5.534,60.0,35.0,0,2,4.9765,5.534,1.1150000000000002,1.0,0,2026-02-15 08:00:00+00:00
s-00031,2026-01-05 05:00:00+00:00,train,sensor-central,3.387,60.0,1.0,0,2,3.3765,3.387,0.020999999999999908,1.0,0,2026-02-15 08:00:00+00:00
s-00030,2026-01-05 08:00:00+00:00,train,sensor-north,8.279,60.0,1.0,0,2,7.846,8.279,0.8659999999999997,1.0,1,2026-02-15 08:00:00+00:00
s-00031,2026-01-05 08:00:00+00:00,train,sensor-central,3.499,60.0,35.0,0,1,3.499,3.499,,0.0,0,2026-02-15 08:00:00+00:00
s-00032,2026-01-05 08:00:00+00:00,train,sensor-coast,5.19,60.0,0.0,0,2,4.9065,5.19,0.5670000000000002,1.0,0,2026-02-15 08:00:00+00:00
s-00031,2026-01-05 11:00:00+00:00,train,sensor-central,5.655,60.0,2.0,0,2,5.0,5.655,1.3100000000000005,1.0,0,2026-02-15 08:00:00+00:00
s-00032,2026-01-05 11:00:00+00:00,train,sensor-coast,5.158,60.0,1.0,0,1,5.158,5.158,,0.0,0,2026-02-15 08:00:00+00:00
s-00033,2026-01-05 11:00:00+00:00,train,sensor-north,4.025,60.0,35.0,0,1,4.025,4.025,,0.0,0,2026-02-15 08:00:00+00:00
s-00032,2026-01-05 14:00:00+00:00,train,sensor-coast,4.183,60.0,0.0,0,2,4.6129999999999995,5.043,-0.8600000000000003,1.0,0,2026-02-15 08:00:00+00:00
s-00033,2026-01-05 14:00:00+00:00,train,sensor-north,5.017,60.0,0.0,0,2,4.299,5.017,1.4360000000000004,1.0,0,2026-02-15 08:00:00+00:00
s-00034,2026-01-05 14:00:00+00:00,train,sensor-central,3.141,60.0,1.0,0,1,3.141,3.141,,0.0,0,2026-02-15 08:00:00+00:00
s-00033,2026-01-05 17:00:00+00:00,train,sensor-north,9.06,60.0,0.0,0,2,8.660499999999999,9.06,0.7990000000000013,1.0,1,2026-02-15 08:00:00+00:00
s-00034,2026-01-05 17:00:00+00:00,train,sensor-central,5.833,60.0,1.0,0,1,5.833,5.833,,0.0,0,2026-02-15 08:00:00+00:00
s-00035,2026-01-05 17:00:00+00:00,train,sensor-coast,4.039,60.0,1.0,0,2,4.109,4.179,-0.14000000000000057,1.0,0,2026-02-15 08:00:00+00:00
s-00034,2026-01-05 20:00:00+00:00,train,sensor-central,8.738,60.0,2.0,0,2,8.096499999999999,8.738,1.2829999999999995,1.0,1,2026-02-15 08:00:00+00:00
s-00035,2026-01-05 20:00:00+00:00,train,sensor-coast,4.586,60.0,5.0,0,2,4.6515,4.717,-0.13099999999999934,1.0,0,2026-02-15 08:00:00+00:00
s-00036,2026-01-05 20:00:00+00:00,train,sensor-north,4.458,0.0,0.0,0,3,4.816333333333334,5.131,-0.3365,2.0,0,2026-02-15 08:00:00+00:00
s-00035,2026-01-05 23:00:00+00:00,train,sensor-coast,4.774,60.0,2.0,0,2,4.689,4.774,0.16999999999999993,1.0,0,2026-02-15 08:00:00+00:00
s-00036,2026-01-05 23:00:00+00:00,train,sensor-north,4.835,60.0,2.0,0,2,4.661,4.835,0.34799999999999986,1.0,0,2026-02-15 08:00:00+00:00
s-00037,2026-01-05 23:00:00+00:00,train,sensor-central,3.312,60.0,2.0,0,2,3.8295000000000003,4.347,-1.0350000000000006,1.0,0,2026-02-15 08:00:00+00:00
s-00036,2026-01-06 02:00:00+00:00,train,sensor-north,4.454,60.0,35.0,0,2,4.8155,5.177,-0.7229999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00037,2026-01-06 02:00:00+00:00,train,sensor-central,5.572,60.0,0.0,0,1,5.572,5.572,,0.0,1,2026-02-15 08:00:00+00:00
s-00038,2026-01-06 02:00:00+00:00,train,sensor-coast,5.245,0.0,0.0,0,1,5.245,5.245,,0.0,0,2026-02-15 08:00:00+00:00
s-00037,2026-01-06 05:00:00+00:00,train,sensor-central,8.129,120.0,2.0,0,1,8.129,8.129,,0.0,1,2026-02-15 08:00:00+00:00
s-00038,2026-01-06 05:00:00+00:00,train,sensor-coast,6.243,60.0,5.0,0,2,5.455,6.243,1.5760000000000005,1.0,0,2026-02-15 08:00:00+00:00
s-00039,2026-01-06 05:00:00+00:00,train,sensor-north,4.319,120.0,5.0,0,1,4.319,4.319,,0.0,0,2026-02-15 08:00:00+00:00
s-00038,2026-01-06 08:00:00+00:00,train,sensor-coast,4.643,60.0,5.0,0,2,4.8095,4.976,-0.3330000000000002,1.0,0,2026-02-15 08:00:00+00:00
s-00039,2026-01-06 08:00:00+00:00,train,sensor-north,5.45,60.0,5.0,0,2,5.007,5.45,0.8860000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00040,2026-01-06 08:00:00+00:00,train,sensor-central,3.225,60.0,2.0,0,2,3.676,4.127,-0.9019999999999997,1.0,0,2026-02-15 08:00:00+00:00
s-00039,2026-01-06 11:00:00+00:00,train,sensor-north,4.567,60.0,35.0,0,2,4.776,4.985,-0.41800000000000015,1.0,0,2026-02-15 08:00:00+00:00
s-00040,2026-01-06 11:00:00+00:00,train,sensor-central,3.6,60.0,2.0,0,2,4.49,5.38,-1.7799999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00041,2026-01-06 11:00:00+00:00,train,sensor-coast,4.404,60.0,2.0,0,1,4.404,4.404,,0.0,0,2026-02-15 08:00:00+00:00
s-00040,2026-01-06 14:00:00+00:00,train,sensor-central,4.698,60.0,2.0,0,1,4.698,4.698,,0.0,0,2026-02-15 08:00:00+00:00
s-00041,2026-01-06 14:00:00+00:00,train,sensor-coast,4.276,60.0,5.0,0,2,4.648,5.02,-0.7439999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00042,2026-01-06 14:00:00+00:00,train,sensor-north,3.546,60.0,5.0,0,2,3.582,3.618,-0.07200000000000006,1.0,0,2026-02-15 08:00:00+00:00
s-00041,2026-01-06 17:00:00+00:00,train,sensor-coast,5.24,60.0,1.0,0,2,5.337,5.434,-0.19399999999999995,1.0,0,2026-02-15 08:00:00+00:00
s-00042,2026-01-06 17:00:00+00:00,train,sensor-north,5.202,60.0,1.0,0,2,4.912,5.202,0.5800000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00043,2026-01-06 17:00:00+00:00,train,sensor-central,4.734,0.0,0.0,0,3,4.654333333333333,5.044,-0.1549999999999998,2.0,0,2026-02-15 08:00:00+00:00
s-00042,2026-01-06 20:00:00+00:00,train,sensor-north,4.548,60.0,0.0,0,2,5.0045,5.461,-0.9130000000000003,1.0,0,2026-02-15 08:00:00+00:00
s-00043,2026-01-06 20:00:00+00:00,train,sensor-central,4.705,60.0,1.0,0,1,4.705,4.705,,0.0,0,2026-02-15 08:00:00+00:00
s-00044,2026-01-06 20:00:00+00:00,train,sensor-coast,5.055,0.0,0.0,0,3,4.866,5.125,0.3184999999999998,2.0,0,2026-02-15 08:00:00+00:00
s-00043,2026-01-06 23:00:00+00:00,train,sensor-central,5.447,60.0,5.0,0,1,5.447,5.447,,0.0,0,2026-02-15 08:00:00+00:00
s-00044,2026-01-06 23:00:00+00:00,train,sensor-coast,4.188,60.0,0.0,0,2,3.9314999999999998,4.188,0.5129999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00045,2026-01-06 23:00:00+00:00,train,sensor-north,4.206,60.0,0.0,0,2,4.0025,4.206,0.4070000000000005,1.0,0,2026-02-15 08:00:00+00:00
s-00044,2026-01-07 02:00:00+00:00,train,sensor-coast,4.934,60.0,2.0,0,2,4.7175,4.934,0.43299999999999983,1.0,0,2026-02-15 08:00:00+00:00
s-00045,2026-01-07 02:00:00+00:00,train,sensor-north,5.124,60.0,0.0,0,1,5.124,5.124,,0.0,0,2026-02-15 08:00:00+00:00
s-00046,2026-01-07 02:00:00+00:00,train,sensor-central,3.976,60.0,2.0,0,2,4.108499999999999,4.241,-0.2649999999999997,1.0,0,2026-02-15 08:00:00+00:00
s-00045,2026-01-07 05:00:00+00:00,train,sensor-north,5.036,60.0,2.0,0,2,5.3655,5.695,-0.6590000000000007,1.0,0,2026-02-15 08:00:00+00:00
s-00046,2026-01-07 05:00:00+00:00,train,sensor-central,4.87,0.0,0.0,0,3,4.407666666666667,4.87,0.474,2.0,0,2026-02-15 08:00:00+00:00
s-00047,2026-01-07 05:00:00+00:00,train,sensor-coast,4.477,60.0,5.0,0,2,3.7665,4.477,1.4210000000000003,1.0,0,2026-02-15 08:00:00+00:00
s-00046,2026-01-07 08:00:00+00:00,train,sensor-central,4.933,120.0,1.0,0,1,4.933,4.933,,0.0,0,2026-02-15 08:00:00+00:00
s-00047,2026-01-07 08:00:00+00:00,train,sensor-coast,4.292,60.0,5.0,0,2,3.997,4.292,0.5899999999999999,1.0,0,2026-02-15 08:00:00+00:00
s-00048,2026-01-07 08:00:00+00:00,train,sensor-north,3.855,120.0,1.0,0,1,3.855,3.855,,0.0,0,2026-02-15 08:00:00+00:00
s-00047,2026-01-07 11:00:00+00:00,train,sensor-coast,4.456,60.0,1.0,0,2,4.652,4.848,-0.39199999999999946,1.0,0,2026-02-15 08:00:00+00:00
s-00048,2026-01-07 11:00:00+00:00,train,sensor-north,5.174,60.0,1.0,0,1,5.174,5.174,,0.0,0,2026-02-15 08:00:00+00:00
s-00049,2026-01-07 11:00:00+00:00,train,sensor-central,4.247,0.0,0.0,0,3,4.227666666666667,5.211,0.5109999999999999,2.0,0,2026-02-15 08:00:00+00:00
s-00048,2026-01-07 14:00:00+00:00,train,sensor-north,5.39,120.0,35.0,0,1,5.39,5.39,,0.0,0,2026-02-15 08:00:00+00:00
s-00049,2026-01-07 14:00:00+00:00,train,sensor-central,6.168,60.0,1.0,0,1,6.168,6.168,,0.0,0,2026-02-15 08:00:00+00:00
s-00050,2026-01-07 14:00:00+00:00,train,sensor-coast,4.682,60.0,2.0,0,2,4.8555,5.029,-0.34699999999999953,1.0,0,2026-02-15 08:00:00+00:00
s-00049,2026-01-07 17:00:00+00:00,train,sensor-central,7.35,60.0,1.0,0,2,7.3795,7.409,-0.05900000000000016,1.0,1,2026-02-15 08:00:00+00:00
s-00050,2026-01-07 17:00:00+00:00,train,sensor-coast,5.357,60.0,1.0,0,2,4.6665,5.357,1.3810000000000002,1.0,0,2026-02-15 08:00:00+00:00
s-00051,2026-01-07 17:00:00+00:00,train,sensor-north,4.96,60.0,5.0,0,2,4.749499999999999,4.96,0.42100000000000026,1.0,0,2026-02-15 08:00:00+00:00
s-00050,2026-01-07 20:00:00+00:00,train,sensor-coast,8.709,60.0,35.0,0,1,8.709,8.709,,0.0,1,2026-02-15 08:00:00+00:00
s-00051,2026-01-07 20:00:00+00:00,train,sensor-north,4.223,120.0,35.0,0,1,4.223,4.223,,0.0,0,2026-02-15 08:00:00+00:00
s-00052,2026-01-07 20:00:00+00:00,train,sensor-central,3.894,60.0,1.0,0,2,4.391500000000001,4.889,-0.9950000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00051,2026-01-07 23:00:00+00:00,train,sensor-north,4.44,60.0,0.0,0,2,5.0395,5.639,-1.1989999999999998,1.0,0,2026-02-15 08:00:00+00:00
s-00052,2026-01-07 23:00:00+00:00,train,sensor-central,3.966,120.0,5.0,0,1,3.966,3.966,,0.0,0,2026-02-15 08:00:00+00:00
s-00053,2026-01-07 23:00:00+00:00,train,sensor-coast,4.359,60.0,0.0,0,2,4.58,4.801,-0.44200000000000017,1.0,0,2026-02-15 08:00:00+00:00
s-00052,2026-01-08 02:00:00+00:00,train,sensor-central,4.498,60.0,1.0,0,2,4.8385,5.179,-0.681,1.0,0,2026-02-15 08:00:00+00:00
s-00053,2026-01-08 02:00:00+00:00,train,sensor-coast,4.741,60.0,5.0,0,2,4.685,4.741,0.1120000000000001,1.0,0,2026-02-15 08:00:00+00:00
s-00054,2026-01-08 02:00:00+00:00,train,sensor-north,3.963,60.0,0.0,0,1,3.963,3.963,,0.0,0,2026-02-15 08:00:00+00:00
