file_row,incident_at,incident_id,label_available_at,severity,shipment_id,incident_at_utc,label_available_at_utc
31,2026-01-19T11:31:00Z,inc-00142,2026-01-20T15:31:00Z,2,s-00142,2026-01-19 11:31:00+00:00,2026-01-20 15:31:00+00:00
32,2026-01-19T17:33:00Z,inc-00144,2026-01-20T12:33:00Z,1,s-00144,2026-01-19 17:33:00+00:00,2026-01-20 12:33:00+00:00
33,2026-01-19T20:34:00Z,inc-00145,2026-01-20T16:34:00Z,2,s-00145,2026-01-19 20:34:00+00:00,2026-01-20 16:34:00+00:00
34,2026-01-20T11:02:00Z,inc-00150,2026-01-21T12:02:00Z,1,s-00150,2026-01-20 11:02:00+00:00,2026-01-21 12:02:00+00:00
35,2026-01-20T14:03:00Z,inc-00151,2026-01-21T16:03:00Z,2,s-00151,2026-01-20 14:03:00+00:00,2026-01-21 16:03:00+00:00
36,2026-01-20T23:06:00Z,inc-00154,2026-01-21T17:06:00Z,2,s-00154,2026-01-20 23:06:00+00:00,2026-01-21 17:06:00+00:00
37,2026-01-21T14:11:00Z,inc-00159,2026-01-22T13:11:00Z,1,s-00159,2026-01-21 14:11:00+00:00,2026-01-22 13:11:00+00:00
38,2026-01-22T05:16:00Z,inc-00164,2026-01-23T09:16:00Z,3,s-00164,2026-01-22 05:16:00+00:00,2026-01-23 09:16:00+00:00
39,2026-01-22T08:17:00Z,inc-00165,2026-01-23T02:17:00Z,1,s-00165,2026-01-22 08:17:00+00:00,2026-01-23 02:17:00+00:00
40,2026-01-22T14:19:00Z,inc-00167,2026-01-23T10:19:00Z,3,s-00167,2026-01-22 14:19:00+00:00,2026-01-23 10:19:00+00:00
41,2026-01-22T17:20:00Z,inc-00168,2026-01-23T14:20:00Z,1,s-00168,2026-01-22 17:20:00+00:00,2026-01-23 14:20:00+00:00
42,2026-01-23T02:23:00Z,inc-00171,2026-01-24T02:23:00Z,1,s-00171,2026-01-23 02:23:00+00:00,2026-01-24 02:23:00+00:00
43,2026-01-26T08:12:00Z,inc-00197,2026-01-27T12:12:00Z,3,s-00197,2026-01-26 08:12:00+00:00,2026-01-27 12:12:00+00:00
44,2026-01-26T20:16:00Z,inc-00201,2026-01-27T17:16:00Z,1,s-00201,2026-01-26 20:16:00+00:00,2026-01-27 17:16:00+00:00
45,2026-01-28T05:27:00Z,inc-00212,2026-01-29T02:27:00Z,3,s-00212,2026-01-28 05:27:00+00:00,2026-01-29 02:27:00+00:00
46,2026-01-29T08:36:00Z,inc-00221,2026-01-30T03:36:00Z,3,s-00221,2026-01-29 08:36:00+00:00,2026-01-30 03:36:00+00:00
47,2026-01-29T11:00:00Z,inc-00222,2026-01-30T07:00:00Z,1,s-00222,2026-01-29 11:00:00+00:00,2026-01-30 07:00:00+00:00
48,2026-01-29T17:02:00Z,inc-00224,2026-01-30T15:02:00Z,3,s-00224,2026-01-29 17:02:00+00:00,2026-01-30 15:02:00+00:00
49,2026-01-30T02:05:00Z,inc-00227,2026-01-31T03:05:00Z,3,s-00227,2026-01-30 02:05:00+00:00,2026-01-31 03:05:00+00:00
50,2026-01-30T23:12:00Z,inc-00234,2026-01-31T20:12:00Z,1,s-00234,2026-01-30 23:12:00+00:00,2026-01-31 20:12:00+00:00
51,2026-01-31T02:13:00Z,inc-00235,2026-02-01T00:13:00Z,2,s-00235,2026-01-31 02:13:00+00:00,2026-02-01 00:13:00+00:00
52,2026-01-31T11:16:00Z,inc-00238,2026-02-01T12:16:00Z,2,s-00238,2026-01-31 11:16:00+00:00,2026-02-01 12:16:00+00:00
53,2026-01-31T14:17:00Z,inc-00239,2026-02-01T16:17:00Z,3,s-00239,2026-01-31 14:17:00+00:00,2026-02-01 16:17:00+00:00
54,2026-01-31T23:20:00Z,inc-00242,2026-02-01T17:20:00Z,3,s-00242,2026-01-31 23:20:00+00:00,2026-02-01 17:20:00+00:00
55,2026-02-01T08:23:00Z,inc-00245,2026-02-02T05:23:00Z,3,s-00245,2026-02-01 08:23:00+00:00,2026-02-02 05:23:00+00:00
56,2026-02-02T02:29:00Z,inc-00251,2026-02-03T05:29:00Z,3,s-00251,2026-02-02 02:29:00+00:00,2026-02-03 05:29:00+00:00
57,2026-02-03T11:03:00Z,inc-00262,2026-02-04T14:03:00Z,2,s-00262,2026-02-03 11:03:00+00:00,2026-02-04 14:03:00+00:00
58,2026-02-03T23:07:00Z,inc-00266,2026-02-04T19:07:00Z,3,s-00266,2026-02-03 23:07:00+00:00,2026-02-04 19:07:00+00:00
59,2026-02-04T05:09:00Z,inc-00268,2026-02-05T03:09:00Z,2,s-00268,2026-02-04 05:09:00+00:00,2026-02-05 03:09:00+00:00
60,2026-02-04T17:13:00Z,inc-00272,2026-02-05T19:13:00Z,3,s-00272,2026-02-04 17:13:00+00:00,2026-02-05 19:13:00+00:00
61,2026-02-05T17:21:00Z,inc-00280,2026-02-06T16:21:00Z,2,s-00280,2026-02-05 17:21:00+00:00,2026-02-06 16:21:00+00:00
62,2026-02-06T05:25:00Z,inc-00284,2026-02-07T08:25:00Z,3,s-00284,2026-02-06 05:25:00+00:00,2026-02-07 08:25:00+00:00
63,2026-02-06T14:28:00Z,inc-00287,2026-02-07T09:28:00Z,3,s-00287,2026-02-06 14:28:00+00:00,2026-02-07 09:28:00+00:00
64,2026-02-06T17:29:00Z,inc-00288,2026-02-07T13:29:00Z,1,s-00288,2026-02-06 17:29:00+00:00,2026-02-07 13:29:00+00:00
65,2026-02-07T17:00:00Z,inc-00296,2026-02-08T21:00:00Z,3,s-00296,2026-02-07 17:00:00+00:00,2026-02-08 21:00:00+00:00
66,2026-02-08T05:04:00Z,inc-00300,2026-02-09T02:04:00Z,1,s-00300,2026-02-08 05:04:00+00:00,2026-02-09 02:04:00+00:00
67,2026-02-08T11:06:00Z,inc-00302,2026-02-09T10:06:00Z,3,s-00302,2026-02-08 11:06:00+00:00,2026-02-09 10:06:00+00:00
68,2026-02-09T14:15:00Z,inc-00311,2026-02-10T11:15:00Z,3,s-00311,2026-02-09 14:15:00+00:00,2026-02-10 11:15:00+00:00
69,2026-02-09T23:18:00Z,inc-00314,2026-02-10T23:18:00Z,3,s-00314,2026-02-09 23:18:00+00:00,2026-02-10 23:18:00+00:00
70,2026-02-11T11:30:00Z,inc-00326,2026-02-12T12:30:00Z,3,s-00326,2026-02-11 11:30:00+00:00,2026-02-12 12:30:00+00:00
71,2026-02-11T20:33:00Z,inc-00329,2026-02-13T00:33:00Z,3,s-00329,2026-02-11 20:33:00+00:00,2026-02-13 00:33:00+00:00
72,2026-02-13T02:06:00Z,inc-00339,2026-02-14T05:06:00Z,1,s-00339,2026-02-13 02:06:00+00:00,2026-02-14 05:06:00+00:00
73,2026-02-13T05:07:00Z,inc-00340,2026-02-14T09:07:00Z,2,s-00340,2026-02-13 05:07:00+00:00,2026-02-14 09:07:00+00:00
74,2026-02-13T17:11:00Z,inc-00344,2026-02-14T14:11:00Z,3,s-00344,2026-02-13 17:11:00+00:00,2026-02-14 14:11:00+00:00
75,2026-02-13T23:13:00Z,inc-00346,2026-02-14T22:13:00Z,2,s-00346,2026-02-13 23:13:00+00:00,2026-02-14 22:13:00+00:00
76,2026-02-14T02:14:00Z,inc-00347,2026-02-15T02:14:00Z,3,s-00347,2026-02-14 02:14:00+00:00,2026-02-15 02:14:00+00:00
77,2026-02-14T08:16:00Z,inc-00349,2026-02-15T10:16:00Z,2,s-00349,2026-02-14 08:16:00+00:00,2026-02-15 10:16:00+00:00
78,2026-02-14T11:17:00Z,inc-00350,2026-02-15T14:17:00Z,3,s-00350,2026-02-14 11:17:00+00:00,2026-02-15 14:17:00+00:00
79,2026-02-14T20:20:00Z,inc-00353,2026-02-15T15:20:00Z,3,s-00353,2026-02-14 20:20:00+00:00,2026-02-15 15:20:00+00:00
80,2026-02-15T05:23:00Z,inc-00356,2026-02-16T03:23:00Z,3,s-00356,2026-02-15 05:23:00+00:00,2026-02-16 03:23:00+00:00
81,2026-02-15T14:26:00Z,inc-00359,2026-02-16T15:26:00Z,3,s-00359,2026-02-15 14:26:00+00:00,2026-02-16 15:26:00+00:00
82,2026-02-16T02:30:00Z,inc-00363,2026-02-16T20:30:00Z,1,s-00363,2026-02-16 02:30:00+00:00,2026-02-16 20:30:00+00:00
83,2026-02-16T08:32:00Z,inc-00365,2026-02-17T04:32:00Z,3,s-00365,2026-02-16 08:32:00+00:00,2026-02-17 04:32:00+00:00
84,2026-02-16T20:36:00Z,inc-00369,2026-02-17T20:36:00Z,1,s-00369,2026-02-16 20:36:00+00:00,2026-02-17 20:36:00+00:00
85,2026-02-17T20:07:00Z,inc-00377,2026-02-18T17:07:00Z,3,s-00377,2026-02-17 20:07:00+00:00,2026-02-18 17:07:00+00:00
86,2026-02-18T08:11:00Z,inc-00381,2026-02-19T09:11:00Z,1,s-00381,2026-02-18 08:11:00+00:00,2026-02-19 09:11:00+00:00
87,2026-02-18T11:12:00Z,inc-00382,2026-02-19T13:12:00Z,2,s-00382,2026-02-18 11:12:00+00:00,2026-02-19 13:12:00+00:00
88,2026-02-18T14:13:00Z,inc-00383,2026-02-19T17:13:00Z,3,s-00383,2026-02-18 14:13:00+00:00,2026-02-19 17:13:00+00:00
89,2026-02-18T20:15:00Z,inc-00385,2026-02-19T14:15:00Z,2,s-00385,2026-02-18 20:15:00+00:00,2026-02-19 14:15:00+00:00
90,2026-02-19T17:22:00Z,inc-00392,2026-02-20T18:22:00Z,3,s-00392,2026-02-19 17:22:00+00:00,2026-02-20 18:22:00+00:00
91,2026-02-20T02:25:00Z,inc-00395,2026-02-21T06:25:00Z,3,s-00395,2026-02-20 02:25:00+00:00,2026-02-21 06:25:00+00:00
92,2026-02-20T11:28:00Z,inc-00398,2026-02-21T07:28:00Z,3,s-00398,2026-02-20 11:28:00+00:00,2026-02-21 07:28:00+00:00
93,2026-02-21T17:01:00Z,inc-00408,2026-02-22T12:01:00Z,1,s-00408,2026-02-21 17:01:00+00:00,2026-02-22 12:01:00+00:00
94,2026-02-21T23:03:00Z,inc-00410,2026-02-22T20:03:00Z,3,s-00410,2026-02-21 23:03:00+00:00,2026-02-22 20:03:00+00:00
95,2026-02-22T02:04:00Z,inc-00411,2026-02-23T00:04:00Z,1,s-00411,2026-02-22 02:04:00+00:00,2026-02-23 00:04:00+00:00
96,2026-02-22T08:06:00Z,inc-00413,2026-02-23T08:06:00Z,3,s-00413,2026-02-22 08:06:00+00:00,2026-02-23 08:06:00+00:00
97,2026-02-22T17:09:00Z,inc-00416,2026-02-23T20:09:00Z,3,s-00416,2026-02-22 17:09:00+00:00,2026-02-23 20:09:00+00:00
98,2026-02-23T14:16:00Z,inc-00423,2026-02-24T13:16:00Z,1,s-00423,2026-02-23 14:16:00+00:00,2026-02-24 13:16:00+00:00
99,2026-02-24T02:20:00Z,inc-00427,2026-02-25T05:20:00Z,2,s-00427,2026-02-24 02:20:00+00:00,2026-02-25 05:20:00+00:00
100,2026-02-26T05:00:00Z,inc-00444,2026-02-27T03:00:00Z,1,s-00444,2026-02-26 05:00:00+00:00,2026-02-27 03:00:00+00:00
101,2026-02-27T23:14:00Z,inc-00458,2026-03-01T00:14:00Z,3,s-00458,2026-02-27 23:14:00+00:00,2026-03-01 00:14:00+00:00
102,2026-03-01T17:28:00Z,inc-00472,2026-03-02T21:28:00Z,2,s-00472,2026-03-01 17:28:00+00:00,2026-03-02 21:28:00+00:00
103,2026-03-02T02:31:00Z,inc-00475,2026-03-02T22:31:00Z,2,s-00475,2026-03-02 02:31:00+00:00,2026-03-02 22:31:00+00:00
104,2026-03-02T05:32:00Z,inc-00476,2026-03-03T02:32:00Z,3,s-00476,2026-03-02 05:32:00+00:00,2026-03-03 02:32:00+00:00
105,2026-03-02T11:34:00Z,inc-00478,2026-03-03T10:34:00Z,2,s-00478,2026-03-02 11:34:00+00:00,2026-03-03 10:34:00+00:00
106,2026-03-02T14:35:00Z,inc-00479,2026-03-03T14:35:00Z,3,s-00479,2026-03-02 14:35:00+00:00,2026-03-03 14:35:00+00:00
107,2026-03-04T11:13:00Z,inc-00494,2026-03-05T15:13:00Z,3,s-00494,2026-03-04 11:13:00+00:00,2026-03-05 15:13:00+00:00
108,2026-03-04T17:15:00Z,inc-00496,2026-03-05T12:15:00Z,2,s-00496,2026-03-04 17:15:00+00:00,2026-03-05 12:15:00+00:00
109,2026-03-05T14:22:00Z,inc-00503,2026-03-06T16:22:00Z,3,s-00503,2026-03-05 14:22:00+00:00,2026-03-06 16:22:00+00:00
110,2026-03-05T23:25:00Z,inc-00506,2026-03-06T17:25:00Z,3,s-00506,2026-03-05 23:25:00+00:00,2026-03-06 17:25:00+00:00
111,2026-03-06T02:26:00Z,inc-00507,2026-03-06T21:26:00Z,1,s-00507,2026-03-06 02:26:00+00:00,2026-03-06 21:26:00+00:00
112,2026-03-06T08:28:00Z,inc-00509,2026-03-07T05:28:00Z,3,s-00509,2026-03-06 08:28:00+00:00,2026-03-07 05:28:00+00:00
113,2026-03-06T14:30:00Z,inc-00511,2026-03-07T13:30:00Z,2,s-00511,2026-03-06 14:30:00+00:00,2026-03-07 13:30:00+00:00
114,2026-03-07T02:34:00Z,inc-00515,2026-03-08T05:34:00Z,3,s-00515,2026-03-07 02:34:00+00:00,2026-03-08 05:34:00+00:00
115,2026-03-07T11:00:00Z,inc-00518,2026-03-08T06:00:00Z,3,s-00518,2026-03-07 11:00:00+00:00,2026-03-08 06:00:00+00:00
116,2026-03-07T20:03:00Z,inc-00521,2026-03-08T18:03:00Z,3,s-00521,2026-03-07 20:03:00+00:00,2026-03-08 18:03:00+00:00
117,2026-03-08T05:06:00Z,inc-00524,2026-03-09T06:06:00Z,3,s-00524,2026-03-08 05:06:00+00:00,2026-03-09 06:06:00+00:00
118,2026-03-08T14:09:00Z,inc-00527,2026-03-09T18:09:00Z,3,s-00527,2026-03-08 14:09:00+00:00,2026-03-09 18:09:00+00:00
119,2026-03-09T08:15:00Z,inc-00533,2026-03-10T07:15:00Z,3,s-00533,2026-03-09 08:15:00+00:00,2026-03-10 07:15:00+00:00
120,2026-03-10T11:24:00Z,inc-00542,2026-03-11T08:24:00Z,3,s-00542,2026-03-10 11:24:00+00:00,2026-03-11 08:24:00+00:00
121,2026-03-10T14:25:00Z,inc-00543,2026-03-11T12:25:00Z,1,s-00543,2026-03-10 14:25:00+00:00,2026-03-11 12:25:00+00:00
122,2026-03-11T05:30:00Z,inc-00548,2026-03-12T08:30:00Z,3,s-00548,2026-03-11 05:30:00+00:00,2026-03-12 08:30:00+00:00
123,2026-03-11T14:33:00Z,inc-00551,2026-03-12T09:33:00Z,3,s-00551,2026-03-11 14:33:00+00:00,2026-03-12 09:33:00+00:00
124,2026-03-11T17:34:00Z,inc-00552,2026-03-12T13:34:00Z,1,s-00552,2026-03-11 17:34:00+00:00,2026-03-12 13:34:00+00:00
125,2026-03-12T02:00:00Z,inc-00555,2026-03-13T01:00:00Z,1,s-00555,2026-03-12 02:00:00+00:00,2026-03-13 01:00:00+00:00
126,2026-03-13T14:12:00Z,inc-00567,2026-03-14T14:12:00Z,1,s-00567,2026-03-13 14:12:00+00:00,2026-03-14 14:12:00+00:00
127,2026-03-13T23:15:00Z,inc-00570,2026-03-15T02:15:00Z,1,s-00570,2026-03-13 23:15:00+00:00,2026-03-15 02:15:00+00:00
128,2026-03-14T11:19:00Z,inc-00574,2026-03-15T07:19:00Z,2,s-00574,2026-03-14 11:19:00+00:00,2026-03-15 07:19:00+00:00
129,2026-03-14T17:21:00Z,inc-00576,2026-03-15T15:21:00Z,1,s-00576,2026-03-14 17:21:00+00:00,2026-03-15 15:21:00+00:00
130,2026-03-16T02:32:00Z,inc-00587,2026-03-17T00:32:00Z,3,s-00587,2026-03-16 02:32:00+00:00,2026-03-17 00:32:00+00:00
131,2026-03-16T08:34:00Z,inc-00589,2026-03-17T08:34:00Z,2,s-00589,2026-03-16 08:34:00+00:00,2026-03-17 08:34:00+00:00
132,2026-03-16T20:01:00Z,inc-00593,2026-03-18T00:01:00Z,3,s-00593,2026-03-16 20:01:00+00:00,2026-03-18 00:01:00+00:00
133,2026-03-17T14:07:00Z,inc-00599,2026-03-18T13:07:00Z,3,s-00599,2026-03-17 14:07:00+00:00,2026-03-18 13:07:00+00:00
