file_row,device_time,event_id,kind,payload,received_at,revision,shipment_id,source,value,payload.firmware,payload.correction,device_time_utc,received_at_utc
11,2026-01-01T06:00:00Z,s-00000-temp-06,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T06:00:00Z,1,s-00000,sensor-north,4.687,4.7.9,,2026-01-01 06:00:00+00:00,2026-01-01 06:00:00+00:00
12,2026-01-01T06:00:00Z,s-00001-temp-03,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T06:00:00Z,1,s-00001,sensor-central,3.566,4.8.1,,2026-01-01 06:00:00+00:00,2026-01-01 06:00:00+00:00
13,2026-01-01T07:00:00Z,s-00001-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T07:05:00Z,1,s-00001,sensor-central,3.465,4.8.1,,2026-01-01 07:00:00+00:00,2026-01-01 07:05:00+00:00
14,2026-01-01T07:00:00Z,s-00001-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T07:05:00Z,1,s-00001,sensor-central,3.465,4.8.1,,2026-01-01 07:00:00+00:00,2026-01-01 07:05:00+00:00
15,2026-01-01T07:00:00Z,s-00002-temp-01,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T07:05:00Z,1,s-00002,sensor-coast,4.497,4.8.1,,2026-01-01 07:00:00+00:00,2026-01-01 07:05:00+00:00
16,2026-01-01T07:00:00Z,s-00000-temp-07,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T07:35:00Z,1,s-00000,sensor-north,3.798,4.7.9,,2026-01-01 07:00:00+00:00,2026-01-01 07:35:00+00:00
17,2026-01-01T08:00:00Z,s-00002-temp-02,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T08:01:00Z,1,s-00002,sensor-coast,4.465,4.8.1,,2026-01-01 08:00:00+00:00,2026-01-01 08:01:00+00:00
18,2026-01-01T08:00:00Z,s-00001-temp-05,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T08:35:00Z,1,s-00001,sensor-central,3.905,4.8.1,,2026-01-01 08:00:00+00:00,2026-01-01 08:35:00+00:00
19,2026-01-01T06:00:00Z,s-00002-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T09:00:00Z,1,s-00002,sensor-coast,4.443,4.8.1,,2026-01-01 06:00:00+00:00,2026-01-01 09:00:00+00:00
20,2026-01-01T09:00:00Z,s-00001-temp-06,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T09:01:00Z,1,s-00001,sensor-central,3.684,4.8.1,,2026-01-01 09:00:00+00:00,2026-01-01 09:01:00+00:00
21,2026-01-01T09:00:00Z,s-00003-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T09:05:00Z,1,s-00003,sensor-north,4.54,4.8.1,,2026-01-01 09:00:00+00:00,2026-01-01 09:05:00+00:00
22,2026-01-01T09:00:00Z,s-00002-temp-03,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T09:35:00Z,1,s-00002,sensor-coast,4.197,4.8.1,,2026-01-01 09:00:00+00:00,2026-01-01 09:35:00+00:00
23,2026-01-01T10:00:00Z,s-00001-temp-07,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T10:00:00Z,1,s-00001,sensor-central,4.436,4.8.1,,2026-01-01 10:00:00+00:00,2026-01-01 10:00:00+00:00
24,2026-01-01T10:00:00Z,s-00000-temp-10,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T10:02:00Z,1,s-00000,sensor-north,5.386,4.7.9,,2026-01-01 10:00:00+00:00,2026-01-01 10:02:00+00:00
25,2026-01-01T10:00:00Z,s-00003-temp-01,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T10:02:00Z,1,s-00003,sensor-north,4.028,4.8.1,,2026-01-01 10:00:00+00:00,2026-01-01 10:02:00+00:00
26,2026-01-01T10:00:00Z,s-00002-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T10:05:00Z,1,s-00002,sensor-coast,4.821,4.8.1,,2026-01-01 10:00:00+00:00,2026-01-01 10:05:00+00:00
27,2026-01-01T10:00:00Z,s-00002-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T10:05:00Z,1,s-00002,sensor-coast,4.821,4.8.1,,2026-01-01 10:00:00+00:00,2026-01-01 10:05:00+00:00
28,2026-01-01T08:00:00Z,s-00000-temp-08,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T11:00:00Z,1,s-00000,sensor-north,3.908,4.7.9,,2026-01-01 08:00:00+00:00,2026-01-01 11:00:00+00:00
29,2026-01-01T11:00:00Z,s-00001-temp-08,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T11:01:00Z,1,s-00001,sensor-central,4.396,4.8.1,,2026-01-01 11:00:00+00:00,2026-01-01 11:01:00+00:00
30,2026-01-01T11:00:00Z,s-00003-temp-02,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T11:02:00Z,1,s-00003,sensor-north,4.139,4.8.1,,2026-01-01 11:00:00+00:00,2026-01-01 11:02:00+00:00
31,2026-01-01T11:00:00Z,s-00002-temp-05,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T11:05:00Z,1,s-00002,sensor-coast,5.295,4.8.1,,2026-01-01 11:00:00+00:00,2026-01-01 11:05:00+00:00
32,2026-01-01T11:00:00Z,s-00000-temp-11,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T11:35:00Z,1,s-00000,sensor-north,5.926,4.7.9,,2026-01-01 11:00:00+00:00,2026-01-01 11:35:00+00:00
33,2026-01-01T11:00:00Z,s-00000-temp-11,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T11:35:00Z,1,s-00000,sensor-north,5.926,4.7.9,,2026-01-01 11:00:00+00:00,2026-01-01 11:35:00+00:00
34,2026-01-01T09:00:00Z,s-00000-temp-09,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T12:00:00Z,1,s-00000,sensor-north,4.667,4.7.9,,2026-01-01 09:00:00+00:00,2026-01-01 12:00:00+00:00
35,2026-01-01T12:00:00Z,s-00001-temp-09,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T12:01:00Z,1,s-00001,sensor-central,4.784,4.8.1,,2026-01-01 12:00:00+00:00,2026-01-01 12:01:00+00:00
36,2026-01-01T12:00:00Z,s-00003-temp-03,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T12:05:00Z,1,s-00003,sensor-north,5.336,4.8.1,,2026-01-01 12:00:00+00:00,2026-01-01 12:05:00+00:00
37,2026-01-01T12:00:00Z,s-00004-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T12:05:00Z,1,s-00004,sensor-central,3.156,4.8.1,,2026-01-01 12:00:00+00:00,2026-01-01 12:05:00+00:00
38,2026-01-01T12:00:00Z,s-00000-temp-12,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T12:35:00Z,1,s-00000,sensor-north,7.632,4.7.9,,2026-01-01 12:00:00+00:00,2026-01-01 12:35:00+00:00
39,2026-01-01T12:00:00Z,s-00002-temp-06,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T12:35:00Z,1,s-00002,sensor-coast,4.85,4.8.1,,2026-01-01 12:00:00+00:00,2026-01-01 12:35:00+00:00
40,2026-01-01T13:00:00Z,s-00000-temp-13,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T13:00:00Z,1,s-00000,sensor-north,9.444,4.7.9,,2026-01-01 13:00:00+00:00,2026-01-01 13:00:00+00:00
41,2026-01-01T13:00:00Z,s-00004-temp-01,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T13:00:00Z,1,s-00004,sensor-central,5.887,4.8.1,,2026-01-01 13:00:00+00:00,2026-01-01 13:00:00+00:00
42,2026-01-01T13:00:00Z,s-00001-temp-10,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T13:05:00Z,1,s-00001,sensor-central,4.187,4.8.1,,2026-01-01 13:00:00+00:00,2026-01-01 13:05:00+00:00
43,2026-01-01T13:00:00Z,s-00003-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T13:02:00Z,1,s-00003,sensor-north,3.974,4.8.1,,2026-01-01 13:00:00+00:00,2026-01-01 13:02:00+00:00
44,2026-01-01T13:00:00Z,s-00003-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T13:02:00Z,1,s-00003,sensor-north,3.974,4.8.1,,2026-01-01 13:00:00+00:00,2026-01-01 13:02:00+00:00
45,2026-01-01T13:00:00Z,s-00002-temp-07,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T13:02:00Z,1,s-00002,sensor-coast,4.184,4.8.1,,2026-01-01 13:00:00+00:00,2026-01-01 13:02:00+00:00
46,2026-01-01T14:00:00Z,s-00000-temp-14,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T14:00:00Z,1,s-00000,sensor-north,9.857,4.7.9,,2026-01-01 14:00:00+00:00,2026-01-01 14:00:00+00:00
47,2026-01-01T14:00:00Z,s-00001-temp-11,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T14:00:00Z,1,s-00001,sensor-central,6.839,4.8.1,,2026-01-01 14:00:00+00:00,2026-01-01 14:00:00+00:00
48,2026-01-01T14:00:00Z,s-00001-temp-11,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T14:00:00Z,1,s-00001,sensor-central,6.839,4.8.1,,2026-01-01 14:00:00+00:00,2026-01-01 14:00:00+00:00
49,2026-01-01T14:00:00Z,s-00003-temp-05,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T14:05:00Z,1,s-00003,sensor-north,4.837,4.8.1,,2026-01-01 14:00:00+00:00,2026-01-01 14:05:00+00:00
50,2026-01-01T14:00:00Z,s-00002-temp-08,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T14:35:00Z,1,s-00002,sensor-coast,3.784,4.8.1,,2026-01-01 14:00:00+00:00,2026-01-01 14:35:00+00:00
51,2026-01-01T15:00:00Z,s-00003-temp-06,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T15:00:00Z,1,s-00003,sensor-north,4.123,4.8.1,,2026-01-01 15:00:00+00:00,2026-01-01 15:00:00+00:00
52,2026-01-01T15:00:00Z,s-00005-temp-00,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T15:00:00Z,1,s-00005,sensor-coast,3.963,4.7.9,,2026-01-01 15:00:00+00:00,2026-01-01 15:00:00+00:00
53,2026-01-01T15:00:00Z,s-00004-temp-03,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T15:01:00Z,1,s-00004,sensor-central,3.167,4.8.1,,2026-01-01 15:00:00+00:00,2026-01-01 15:01:00+00:00
54,2026-01-01T15:00:00Z,s-00000-temp-15,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T15:35:00Z,1,s-00000,sensor-north,9.658,4.7.9,,2026-01-01 15:00:00+00:00,2026-01-01 15:35:00+00:00
55,2026-01-01T15:00:00Z,s-00002-temp-09,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T15:35:00Z,1,s-00002,sensor-coast,4.487,4.8.1,,2026-01-01 15:00:00+00:00,2026-01-01 15:35:00+00:00
56,2026-01-01T16:00:00Z,s-00004-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T16:00:00Z,1,s-00004,sensor-central,4.074,4.8.1,,2026-01-01 16:00:00+00:00,2026-01-01 16:00:00+00:00
57,2026-01-01T16:00:00Z,s-00004-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T16:00:00Z,1,s-00004,sensor-central,4.074,4.8.1,,2026-01-01 16:00:00+00:00,2026-01-01 16:00:00+00:00
58,2026-01-01T16:00:00Z,s-00001-temp-13,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T16:02:00Z,1,s-00001,sensor-central,7.38,4.8.1,,2026-01-01 16:00:00+00:00,2026-01-01 16:02:00+00:00
59,2026-01-01T16:00:00Z,s-00002-temp-10,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T16:02:00Z,1,s-00002,sensor-coast,4.325,4.8.1,,2026-01-01 16:00:00+00:00,2026-01-01 16:02:00+00:00
60,2026-01-01T16:00:00Z,s-00005-temp-01,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T16:35:00Z,1,s-00005,sensor-coast,3.061,4.7.9,,2026-01-01 16:00:00+00:00,2026-01-01 16:35:00+00:00
61,2026-01-01T17:00:00Z,s-00003-temp-08,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T17:00:00Z,1,s-00003,sensor-north,3.598,4.8.1,,2026-01-01 17:00:00+00:00,2026-01-01 17:00:00+00:00
62,2026-01-01T14:00:00Z,s-00004-temp-02,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T17:00:00Z,1,s-00004,sensor-central,4.549,4.8.1,,2026-01-01 14:00:00+00:00,2026-01-01 17:00:00+00:00
63,2026-01-01T17:00:00Z,s-00004-temp-05,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T17:00:00Z,1,s-00004,sensor-central,4.02,4.8.1,,2026-01-01 17:00:00+00:00,2026-01-01 17:00:00+00:00
64,2026-01-01T17:00:00Z,s-00001-temp-14,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T17:05:00Z,1,s-00001,sensor-central,9.267,4.8.1,,2026-01-01 17:00:00+00:00,2026-01-01 17:05:00+00:00
65,2026-01-01T17:00:00Z,s-00002-temp-11,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T17:05:00Z,1,s-00002,sensor-coast,3.912,4.8.1,,2026-01-01 17:00:00+00:00,2026-01-01 17:05:00+00:00
66,2026-01-01T17:00:00Z,s-00002-temp-11,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T17:05:00Z,1,s-00002,sensor-coast,3.912,4.8.1,,2026-01-01 17:00:00+00:00,2026-01-01 17:05:00+00:00
67,2026-01-01T09:00:00Z,s-00000-ticket,door_open,"{""firmware"":null}",2026-01-01T17:20:00Z,1,s-00000,ops-console,1.0,,,2026-01-01 09:00:00+00:00,2026-01-01 17:20:00+00:00
68,2026-01-01T17:00:00Z,s-00005-temp-02,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T17:35:00Z,1,s-00005,sensor-coast,4.093,4.7.9,,2026-01-01 17:00:00+00:00,2026-01-01 17:35:00+00:00
69,2026-01-01T15:00:00Z,s-00001-temp-12,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T18:00:00Z,1,s-00001,sensor-central,7.134,4.8.1,,2026-01-01 15:00:00+00:00,2026-01-01 18:00:00+00:00
70,2026-01-01T18:00:00Z,s-00006-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T18:01:00Z,1,s-00006,sensor-north,3.496,4.8.1,,2026-01-01 18:00:00+00:00,2026-01-01 18:01:00+00:00
71,2026-01-01T18:00:00Z,s-00003-temp-09,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T18:02:00Z,1,s-00003,sensor-north,4.51,4.8.1,,2026-01-01 18:00:00+00:00,2026-01-01 18:02:00+00:00
72,2026-01-01T18:00:00Z,s-00005-temp-03,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T18:02:00Z,1,s-00005,sensor-coast,2.708,4.7.9,,2026-01-01 18:00:00+00:00,2026-01-01 18:02:00+00:00
73,2026-01-01T18:00:00Z,s-00001-temp-15,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T18:05:00Z,1,s-00001,sensor-central,11.423,4.8.1,,2026-01-01 18:00:00+00:00,2026-01-01 18:05:00+00:00
74,2026-01-01T18:00:00Z,s-00002-temp-12,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T18:05:00Z,1,s-00002,sensor-coast,4.708,4.8.1,,2026-01-01 18:00:00+00:00,2026-01-01 18:05:00+00:00
75,2026-01-01T08:00:00Z,s-00000-temp-08,temperature_c,"{""correction"":""calibrated"",""firmware"":""4.8.1""}",2026-01-01T19:00:00Z,2,s-00000,sensor-north,1.658,4.8.1,calibrated,2026-01-01 08:00:00+00:00,2026-01-01 19:00:00+00:00
76,2026-01-01T16:00:00Z,s-00003-temp-07,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T19:00:00Z,1,s-00003,sensor-north,4.881,4.8.1,,2026-01-01 16:00:00+00:00,2026-01-01 19:00:00+00:00
77,2026-01-01T19:00:00Z,s-00006-temp-01,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T19:00:00Z,1,s-00006,sensor-north,4.338,4.8.1,,2026-01-01 19:00:00+00:00,2026-01-01 19:00:00+00:00
78,2026-01-01T19:00:00Z,s-00004-temp-07,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T19:01:00Z,1,s-00004,sensor-central,4.056,4.8.1,,2026-01-01 19:00:00+00:00,2026-01-01 19:01:00+00:00
79,2026-01-01T19:00:00Z,s-00003-temp-10,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T19:02:00Z,1,s-00003,sensor-north,4.564,4.8.1,,2026-01-01 19:00:00+00:00,2026-01-01 19:02:00+00:00
80,2026-01-01T19:00:00Z,s-00005-temp-04,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T19:05:00Z,1,s-00005,sensor-coast,4.549,4.7.9,,2026-01-01 19:00:00+00:00,2026-01-01 19:05:00+00:00
81,2026-01-01T19:00:00Z,s-00005-temp-04,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T19:05:00Z,1,s-00005,sensor-coast,4.549,4.7.9,,2026-01-01 19:00:00+00:00,2026-01-01 19:05:00+00:00
82,2026-01-01T20:00:00Z,s-00003-temp-11,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T20:02:00Z,1,s-00003,sensor-north,4.336,4.8.1,,2026-01-01 20:00:00+00:00,2026-01-01 20:02:00+00:00
83,2026-01-01T20:00:00Z,s-00005-temp-05,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T20:35:00Z,1,s-00005,sensor-coast,5.022,4.7.9,,2026-01-01 20:00:00+00:00,2026-01-01 20:35:00+00:00
84,2026-01-01T20:00:00Z,s-00006-temp-02,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T20:05:00Z,1,s-00006,sensor-north,4.323,4.8.1,,2026-01-01 20:00:00+00:00,2026-01-01 20:05:00+00:00
85,2026-01-01T12:00:00Z,s-00001-ticket,door_open,"{""firmware"":null}",2026-01-01T20:21:00Z,1,s-00001,ops-console,1.0,,,2026-01-01 12:00:00+00:00,2026-01-01 20:21:00+00:00
86,2026-01-01T20:00:00Z,s-00003-temp-11,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T20:02:00Z,1,s-00003,sensor-north,4.336,4.8.1,,2026-01-01 20:00:00+00:00,2026-01-01 20:02:00+00:00
87,2026-01-01T18:00:00Z,s-00004-temp-06,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T21:00:00Z,1,s-00004,sensor-central,4.27,4.8.1,,2026-01-01 18:00:00+00:00,2026-01-01 21:00:00+00:00
88,2026-01-01T21:00:00Z,s-00006-temp-03,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T21:00:00Z,1,s-00006,sensor-north,3.862,4.8.1,,2026-01-01 21:00:00+00:00,2026-01-01 21:00:00+00:00
89,2026-01-01T21:00:00Z,s-00002-temp-15,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T21:02:00Z,1,s-00002,sensor-coast,4.607,4.8.1,,2026-01-01 21:00:00+00:00,2026-01-01 21:02:00+00:00
90,2026-01-01T21:00:00Z,s-00005-temp-06,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T21:02:00Z,1,s-00005,sensor-coast,4.418,4.7.9,,2026-01-01 21:00:00+00:00,2026-01-01 21:02:00+00:00
91,2026-01-01T21:00:00Z,s-00007-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T21:02:00Z,1,s-00007,sensor-central,4.322,4.8.1,,2026-01-01 21:00:00+00:00,2026-01-01 21:02:00+00:00
92,2026-01-01T21:00:00Z,s-00003-temp-12,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T21:35:00Z,1,s-00003,sensor-north,4.71,4.8.1,,2026-01-01 21:00:00+00:00,2026-01-01 21:35:00+00:00
93,2026-01-01T19:00:00Z,s-00002-temp-13,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T22:00:00Z,1,s-00002,sensor-coast,4.594,4.8.1,,2026-01-01 19:00:00+00:00,2026-01-01 22:00:00+00:00
94,2026-01-01T22:00:00Z,s-00003-temp-13,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T22:00:00Z,1,s-00003,sensor-north,4.495,4.8.1,,2026-01-01 22:00:00+00:00,2026-01-01 22:00:00+00:00
95,2026-01-01T22:00:00Z,s-00004-temp-10,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T22:00:00Z,1,s-00004,sensor-central,5.764,4.8.1,,2026-01-01 22:00:00+00:00,2026-01-01 22:00:00+00:00
96,2026-01-01T22:00:00Z,s-00007-temp-01,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T22:01:00Z,1,s-00007,sensor-central,3.808,4.8.1,,2026-01-01 22:00:00+00:00,2026-01-01 22:01:00+00:00
97,2026-01-01T22:00:00Z,s-00005-temp-07,temperature_c,"{""firmware"":""4.7.9""}",2026-01-01T22:05:00Z,1,s-00005,sensor-coast,4.529,4.7.9,,2026-01-01 22:00:00+00:00,2026-01-01 22:05:00+00:00
98,2026-01-01T22:00:00Z,s-00006-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T22:05:00Z,1,s-00006,sensor-north,4.625,4.8.1,,2026-01-01 22:00:00+00:00,2026-01-01 22:05:00+00:00
99,2026-01-01T22:00:00Z,s-00006-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T22:05:00Z,1,s-00006,sensor-north,4.625,4.8.1,,2026-01-01 22:00:00+00:00,2026-01-01 22:05:00+00:00
100,2026-01-01T20:00:00Z,s-00002-temp-14,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T23:00:00Z,1,s-00002,sensor-coast,5.516,4.8.1,,2026-01-01 20:00:00+00:00,2026-01-01 23:00:00+00:00
101,2026-01-01T23:00:00Z,s-00003-temp-14,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T23:00:00Z,1,s-00003,sensor-north,5.132,4.8.1,,2026-01-01 23:00:00+00:00,2026-01-01 23:00:00+00:00
102,2026-01-01T20:00:00Z,s-00004-temp-08,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T23:00:00Z,1,s-00004,sensor-central,4.297,4.8.1,,2026-01-01 20:00:00+00:00,2026-01-01 23:00:00+00:00
103,2026-01-01T23:00:00Z,s-00006-temp-05,temperature_c,"{""firmware"":""4.8.1""}",2026-01-01T23:02:00Z,1,s-00006,sensor-north,3.959,4.8.1,,2026-01-01 23:00:00+00:00,2026-01-01 23:02:00+00:00
104,2026-01-01T21:00:00Z,s-00004-temp-09,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T00:00:00Z,1,s-00004,sensor-central,4.233,4.8.1,,2026-01-01 21:00:00+00:00,2026-01-02 00:00:00+00:00
105,2026-01-02T00:00:00Z,s-00004-temp-12,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T00:00:00Z,1,s-00004,sensor-central,4.541,4.8.1,,2026-01-02 00:00:00+00:00,2026-01-02 00:00:00+00:00
106,2026-01-02T00:00:00Z,s-00008-temp-00,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T00:01:00Z,1,s-00008,sensor-coast,2.913,4.8.1,,2026-01-02 00:00:00+00:00,2026-01-02 00:01:00+00:00
107,2026-01-02T00:00:00Z,s-00003-temp-15,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T00:02:00Z,1,s-00003,sensor-north,4.256,4.8.1,,2026-01-02 00:00:00+00:00,2026-01-02 00:02:00+00:00
108,2026-01-02T00:00:00Z,s-00006-temp-06,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T00:05:00Z,1,s-00006,sensor-north,4.434,4.8.1,,2026-01-02 00:00:00+00:00,2026-01-02 00:05:00+00:00
109,2026-01-02T00:00:00Z,s-00005-temp-09,temperature_c,"{""firmware"":""4.7.9""}",2026-01-02T00:35:00Z,1,s-00005,sensor-coast,4.76,4.7.9,,2026-01-02 00:00:00+00:00,2026-01-02 00:35:00+00:00
110,2026-01-02T00:00:00Z,s-00007-temp-03,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T00:35:00Z,1,s-00007,sensor-central,4.451,4.8.1,,2026-01-02 00:00:00+00:00,2026-01-02 00:35:00+00:00
111,2026-01-02T01:00:00Z,s-00007-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T01:01:00Z,1,s-00007,sensor-central,5.308,4.8.1,,2026-01-02 01:00:00+00:00,2026-01-02 01:01:00+00:00
112,2026-01-02T01:00:00Z,s-00007-temp-04,temperature_c,"{""firmware"":""4.8.1""}",2026-01-02T01:01:00Z,1,s-00007,sensor-central,5.308,4.8.1,,2026-01-02 01:00:00+00:00,2026-01-02 01:01:00+00:00
